Line Id,Date,Name,AFC Revenue (A),Travel Revenue (B),Famoco Revenue (C),QR Online Revenue (D),QR Paper Revenue (E),Static QR Revenue (E1),Whats App QR Revenue (E2),Total Revenue (F) = A + C + D + E + E1 + E2,Parked Vehicle - Cash Revenue (F),Parked Vehicle - Card Revenue (G),Parked Vehicle - Total Revenue (H) = F + G,Pass Sale - Cash Revenue (I),Pass Sale - Card Revenue (J),Pass Sale - Total Revenue (K) = I + J,CL Entry Count (L),QR Entry Count (M),Total Entry Count (N) = L + M,CL Exit Count (O),QR Exit Count (P),Total Exit Count (Q) = O + P,Ridership Count,CSC Qty (R),CST Qty (S),P-CSC (1-day) Qty (T),P-CSC (30-day) Qty (U),Paper Ticket Qty (V),QR Online Qty (W),QR Paper Qty (X),Total Qty (Y) = R + S + T + U + V + W + X
2,04/12/2022,0231-Arignar Anna Alandur,94586,165176,300,4968,86976,0,0,186830,0,0,0,0,0,0,2674,2787,5461,2295,2682,4977,2735,43,780,8,0,18,186,2453,3488
2,04/12/2022,0233-St. Thomas Mount,47965,102202,100,4616,61264,0,0,113945,0,0,0,3400,2550,5950,1334,1997,3331,1440,1646,3086,1492,17,234,5,0,8,144,1779,2187
1,05/12/2022,01ED-Wimco Nagar Depot Metro,119946,88340,400,1456,29072,0,0,150874,0,0,0,0,7000,7000,2156,752,2908,1889,473,2362,1864,24,0,2,0,10,45,700,781
1,05/12/2022,01EF-Wimco Nagar Metro,172130,132634,0,2552,34088,0,0,208770,0,0,0,0,2000,2000,3378,916,4294,3111,955,4066,3086,51,52,3,0,8,73,824,1011
1,05/12/2022,01F1-Thiruvotriyur Metro,145466,107463,0,1456,21820,0,0,168742,0,0,0,0,0,0,2865,614,3479,2870,598,3468,2857,27,0,2,1,8,46,571,655
1,05/12/2022,01F3-Thiruvotriyur Theradi Metro,125287,129508,700,1816,33638,0,0,161441,0,0,0,0,0,0,3004,957,3961,3295,1062,4357,3272,17,40,3,0,3,48,893,1004
1,05/12/2022,01F5-Kaladipet Metro,162626,108179,200,2000,24330,0,0,189156,0,0,0,0,0,0,3120,784,3904,3122,723,3845,3100,28,0,1,0,3,62,715,809
1,05/12/2022,01F7-Tollgate Metro,85077,63334,0,712,16524,0,0,102313,0,0,0,0,250,250,1716,534,2250,1725,485,2210,1702,37,0,0,0,14,26,486,563
1,05/12/2022,01F9-New Washermenpet Metro,138905,102645,1300,1096,26496,0,0,167797,0,0,0,0,1000,1000,2920,875,3795,2981,849,3830,2989,15,50,1,0,1,42,821,930
1,05/12/2022,01FB-Tondiarpet Metro,128244,112069,474,1608,30254,0,0,160580,0,0,0,0,0,0,3085,965,4050,3193,994,4187,3185,23,54,7,0,7,46,918,1055
1,05/12/2022,01FD-Thiagaraya College Metro,142881,129900,643,2592,35644,0,0,181760,0,0,0,0,1250,1250,3578,1224,4802,3845,1190,5035,3823,31,34,0,0,5,76,1135,1281
1,05/12/2022,0101-Washermanpet,136462,129187,1348,2648,40436,0,0,180894,0,0,0,0,16000,16000,3760,1411,5171,3478,1297,4775,3589,25,145,0,0,5,98,1282,1555
1,05/12/2022,0103-Mannadi,102644,111318,1510,1312,30418,0,0,135884,0,0,0,0,0,0,3136,1071,4207,3409,1156,4565,3428,17,77,1,0,2,56,1008,1161
1,05/12/2022,0105-High Court,176703,251008,2000,2776,72764,0,0,254243,0,0,0,0,0,0,7112,2543,9655,7204,2168,9372,7348,41,217,0,0,0,119,2373,2750
1,05/12/2022,0109-Government Estate,120581,165541,1000,2808,54806,0,0,179195,0,0,0,0,3000,3000,4264,1989,6253,4617,1842,6459,4846,35,335,2,0,6,122,1804,2304
1,05/12/2022,0111-LIC,141300,189811,2328,3584,38140,0,0,185352,0,0,0,0,0,0,5369,1389,6758,6168,1179,7347,6144,24,0,3,0,4,109,1248,1388
1,05/12/2022,0113-Thousand Lights,213611,257209,2090,5760,44578,0,0,266039,0,0,0,0,0,0,7717,1731,9448,8592,1768,10360,8607,32,0,2,1,4,233,1403,1675
1,05/12/2022,0115-AG-DMS,157016,151959,3750,2472,24974,0,0,188212,0,0,0,0,2000,2000,4905,901,5806,4866,953,5819,5024,42,179,0,0,2,94,772,1089
1,05/12/2022,0117-Teynampet,139542,142904,800,2216,31096,0,0,173654,0,0,0,0,2000,2000,4152,1162,5314,4784,1165,5949,4722,22,4,3,0,1,84,1042,1156
1,05/12/2022,0119-Nandanam,147571,135984,1350,2768,29130,0,0,180819,0,0,0,0,3500,3500,3996,1147,5143,4652,1210,5862,4617,36,0,1,0,3,108,980,1128
1,05/12/2022,0121-Saidapet,64832,86705,0,1872,25802,0,0,92506,0,0,0,0,4000,4000,1983,927,2910,2535,941,3476,2481,9,1,0,0,1,66,843,920
